"staff_id","first_name","last_name","address_id","picture","email","store_id","active","username","password","last_update"
1,"Mike","Hillyer",3,,"Mike.Hillyer@sakilastaff.com",1,1,"Mike","8cb2237d0679ca88db6464eac60da96345513964",2006-02-15 04:57:16
2,"Jon","Stephens",4,,"Jon.Stephens@sakilastaff.com",2,1,"Jon","8cb2237d0679ca88db6464eac60da96345513964",2006-02-15 04:57:16
3,"Guillermo","Littel",292,,"Guillermo.Littel@sakila.com",2,1,"Guillermo.Littel","Congue vivamus vehicula molestie.",2010-01-01 19:43:57
4,"Lois","Schroeder",264,,"Lois.Schroeder@sakila.com",1,1,"Lois.Schroeder","Nulla suscipit placerat vestibulum at.",2010-02-01 06:54:01
5,"Tristin","Fisher",297,,"Tristin.Fisher@sakila.com",2,1,"Tristin.Fisher","Lectus velit et suspendisse felis.",2010-02-01 08:42:44
6,"Alford","Breitenberg",308,,"Alford.Breitenberg@sakila.com",2,0,"Alford.Breitenbe","Nunc tortor luctus facilisi lectus.",2010-03-01 00:54:07
7,"Liana","Koepp",514,,"Liana.Koepp@sakila.com",1,0,"Liana.Koepp","Porta Porta.",2010-03-01 10:42:19
8,"Granville","Kuphal",111,,"Granville.Kuphal@sakila.com",1,0,"Granville.Kuphal","Ex scelerisque ultrices arcu aliquam.",2010-03-01 16:53:36
9,"Daryl","Corwin",226,,"Daryl.Corwin@sakila.com",1,1,"Daryl.Corwin","Sem elit nec consectetur duis fermentum.",2010-04-01 12:16:37
10,"Leslie","Orn",566,,"Leslie.Orn@sakila.com",1,1,"Leslie.Orn","Fames leo ornare vivamus iaculis duis.",2010-05-01 06:18:34
11,"Jamar","Kunde",111,,"Jamar.Kunde@sakila.com",2,1,"Jamar.Kunde","A ipsum adipiscing ante tellus et risus.",2010-06-01 03:26:59
12,"Charlotte","Gottlieb",559,,"Charlotte.Gottlieb@sakila.com",2,0,"Charlotte.Gottli","Phasellus ullamcorper laoreet.",2010-07-01 00:18:35
13,"Gwendolyn","Effertz",111,,"Gwendolyn.Effertz@sakila.com",2,0,"Gwendolyn.Effert","Lectus praesent facilisi proin vitae.",2010-07-01 18:45:58
14,"Pauline","Rau",72,,"Pauline.Rau@sakila.com",1,1,"Pauline.Rau","Nec fermentum consectetur proin.",2010-08-01 05:10:40
15,"Mireya","Gulgowski",529,,"Mireya.Gulgowski@sakila.com",2,1,"Mireya.Gulgowski","Phasellus iaculisut dapibus urna id.",2010-08-01 23:19:27
16,"Ariane","Bosco",56,,"Ariane.Bosco@sakila.com",1,0,"Ariane.Bosco","Proin pellentesque facilisis tempor.",2010-09-01 01:27:38
